SectionID,LinkID,SectionName
59,0000100009500O,國道1號(新竹到新竹系統)
59,0000100009550O,國道1號(新竹到新竹系統)
59,0000100009600O,國道1號(新竹到新竹系統)
59,0000100009660J,國道1號(新竹到新竹系統)
59,0000100009710J,國道1號(新竹到新竹系統)
59,0000100009800J,國道1號(新竹到新竹系統)
59,0000100009890J,國道1號(新竹到新竹系統)
59,0000100009900J,國道1號(新竹到新竹系統)
61,0000100009900J,國道1號(新竹系統到頭份)
61,0000100009960J,國道1號(新竹系統到頭份)
61,0000100010010J,國道1號(新竹系統到頭份)
61,0000100010100J,國道1號(新竹系統到頭份)
61,0000100010200J,國道1號(新竹系統到頭份)
61,0000100010300J,國道1號(新竹系統到頭份)
61,0000100010400J,國道1號(新竹系統到頭份)
61,0000100010500J,國道1號(新竹系統到頭份)
61,0000100010590O,國道1號(新竹系統到頭份)
61,0000100010600O,國道1號(新竹系統到頭份)
61,0000100010700O,國道1號(新竹系統到頭份)
61,0000100010730K,國道1號(新竹系統到頭份)
61,0000100010800K,國道1號(新竹系統到頭份)
61,0000100010900K,國道1號(新竹系統到頭份)
61,0000100010990K,國道1號(新竹系統到頭份)
61,0000100011000K,國道1號(新竹系統到頭份)
63,0000100011000K,國道1號(頭份到頭屋)
63,0000100011100K,國道1號(頭份到頭屋)
63,0000100011200K,國道1號(頭份到頭屋)
63,0000100011300K,國道1號(頭份到頭屋)
63,0000100011400K,國道1號(頭份到頭屋)
63,0000100011500K,國道1號(頭份到頭屋)
63,0000100011600K,國道1號(頭份到頭屋)
63,0000100011700K,國道1號(頭份到頭屋)
63,0000100011800K,國道1號(頭份到頭屋)
63,0000100011900K,國道1號(頭份到頭屋)
63,0000100012000K,國道1號(頭份到頭屋)
63,0000100012100K,國道1號(頭份到頭屋)
63,0000100012200K,國道1號(頭份到頭屋)
63,0000100012300K,國道1號(頭份到頭屋)
63,0000100012400K,國道1號(頭份到頭屋)
63,0000100012500K,國道1號(頭份到頭屋)
63,0000100012540K,國道1號(頭份到頭屋)
63,0000100012610K,國道1號(頭份到頭屋)
67,0000100013240K,國道1號(苗栗到銅鑼)
67,0000100013300K,國道1號(苗栗到銅鑼)
67,0000100013330K,國道1號(苗栗到銅鑼)
67,0000100013400K,國道1號(苗栗到銅鑼)
67,0000100013500K,國道1號(苗栗到銅鑼)
67,0000100013600K,國道1號(苗栗到銅鑼)
67,0000100013700K,國道1號(苗栗到銅鑼)
67,0000100013800K,國道1號(苗栗到銅鑼)
67,0000100013900K,國道1號(苗栗到銅鑼)
67,0000100013940K,國道1號(苗栗到銅鑼)
67,0000100014000K,國道1號(苗栗到銅鑼)
69,0000100015000K,國道1號(三義到泰安服務區)
69,0000100015060K,國道1號(三義到泰安服務區)
69,0000100015100K,國道1號(三義到泰安服務區)
69,0000100015200K,國道1號(三義到泰安服務區)
69,0000100015300K,國道1號(三義到泰安服務區)
69,0000100015400K,國道1號(三義到泰安服務區)
69,0000100015500K,國道1號(三義到泰安服務區)
69,0000100015560B,國道1號(三義到泰安服務區)
69,0000100015600B,國道1號(三義到泰安服務區)
69,0000100015700B,國道1號(三義到泰安服務區)
69,0000100015800B,國道1號(三義到泰安服務區)
69,0000100015880B,國道1號(三義到泰安服務區)
69,0000100015900B,國道1號(三義到泰安服務區)
69,0000100015920B,國道1號(三義到泰安服務區)
71,0000100015920B,國道1號(泰安服務區到后里)
71,0000100016000B,國道1號(泰安服務區到后里)
73,0000100016000B,國道1號(后里到台中系統)
73,0000100016100B,國道1號(后里到台中系統)
73,0000100016130B,國道1號(后里到台中系統)
73,0000100016200B,國道1號(后里到台中系統)
73,0000100016300B,國道1號(后里到台中系統)
73,0000100016400B,國道1號(后里到台中系統)
73,0000100016500B,國道1號(后里到台中系統)
77,0000100016500B,國道1號(台中系統到豐原)
77,0000100016610B,國道1號(台中系統到豐原)
77,0000100016700B,國道1號(台中系統到豐原)
77,0000100016790B,國道1號(台中系統到豐原)
77,0000100016800B,國道1號(台中系統到豐原)
79,0000100016800B,國道1號(豐原到大雅系統)
79,0000100016820B,國道1號(豐原到大雅系統)
79,0000100016900B,國道1號(豐原到大雅系統)
79,0000100017000B,國道1號(豐原到大雅系統)
79,0000100017100B,國道1號(豐原到大雅系統)
79,0000100017200B,國道1號(豐原到大雅系統)
79,0000100017300B,國道1號(豐原到大雅系統)
81,0000100017400B,國道1號(大雅到台中)
81,0000100017490B,國道1號(大雅到台中)
81,0000100017500B,國道1號(大雅到台中)
81,0000100017600B,國道1號(大雅到台中)
81,0000100017700B,國道1號(大雅到台中)
81,0000100017800B,國道1號(大雅到台中)
81,0000100017830B,國道1號(大雅到台中)
